Date,Volume,Close,Average
14/01/2010,108223500,28.33,27.88904762
15/01/2010,148516900,27.86,27.9647619
19/01/2010,182501900,29.09,28.09380952
20/01/2010,153038200,28.64,28.22142857
21/01/2010,152038600,28.15,28.30285714
22/01/2010,220441900,26.75,28.29952381
25/01/2010,266424900,27.47,28.31666667
26/01/2010,466777500,27.86,28.34142857
27/01/2010,430642100,28.12,28.33380952
28/01/2010,293375600,26.96,28.25428571
29/01/2010,311488100,25.98,28.14428571
01/02/2010,187469100,26.34,28.0352381
02/02/2010,174585600,26.5,27.93952381
03/02/2010,153832000,26.95,27.84428571
04/02/2010,189413000,25.98,27.70047619
05/02/2010,212576700,26.44,27.60047619
08/02/2010,119567700,26.26,27.49428571
09/02/2010,158221700,26.54,27.39238095
10/02/2010,92590400,26.4,27.29619048
11/02/2010,137586400,26.88,27.23809524
12/02/2010,163867200,27.11,27.17190476
16/02/2010,135934400,27.52,27.13333333
17/02/2010,109099200,27.4,27.11142857
18/02/2010,105706300,27.45,27.03333333
19/02/2010,103867400,27.28,26.96857143
22/02/2010,97640900,27.11,26.91904762
23/02/2010,143773700,26.66,26.9147619
24/02/2010,115141600,27.15,26.89952381
25/02/2010,166281500,27.33,26.87428571
26/02/2010,126865200,27.68,26.85333333
01/03/2010,137523400,28.27,26.91571429
02/03/2010,141636600,28.25,27.02380952
03/03/2010,93013200,28.32,27.11809524
04/03/2010,91510300,28.51,27.21380952
05/03/2010,224905100,29.62,27.34095238
08/03/2010,107472400,29.64,27.5152381
09/03/2010,230064800,30.17,27.69285714
10/03/2010,149054500,30.42,27.89095238
11/03/2010,101425100,30.51,28.08
12/03/2010,104080900,30.66,28.28285714
15/03/2010,123375700,30.28,28.4447619
16/03/2010,111727000,30.36,28.59952381
17/03/2010,112739200,30.32,28.73285714
18/03/2010,85527400,30.39,28.8752381
19/03/2010,139861400,30.07,29
22/03/2010,114104900,30.4,29.14857143
23/03/2010,150607800,30.89,29.32857143
24/03/2010,149445100,31.03,29.53666667
25/03/2010,135571100,30.66,29.70380952
26/03/2010,160218800,31.24,29.89
29/03/2010,135186100,31.44,30.06904762
30/03/2010,131827500,31.91,30.24238095
31/03/2010,107664900,31.79,30.41095238
01/04/2010,150786300,31.92,30.58238095
05/04/2010,171126900,32.26,30.76095238
06/04/2010,111754300,32.41,30.89380952
07/04/2010,157125500,32.55,31.03238095
08/04/2010,143247300,32.46,31.14142857
09/04/2010,83545700,32.71,31.25047619
12/04/2010,83256600,32.78,31.35857143
13/04/2010,76552700,32.8,31.46047619
14/04/2010,101019100,33.24,31.60142857
15/04/2010,94196200,33.67,31.75904762
16/04/2010,187636400,33.47,31.90904762
19/04/2010,141731100,33.42,32.05333333
20/04/2010,184581600,33.09,32.19714286
21/04/2010,245597800,35.07,32.41952381
22/04/2010,198356200,36.05,32.6652381
23/04/2010,199238900,36.64,32.93238095
26/04/2010,119767200,36.46,33.20857143
27/04/2010,177335900,35.45,33.40904762
28/04/2010,189600600,35.39,33.59714286
29/04/2010,139710200,36.34,33.80809524
30/04/2010,135615900,35.32,33.97619048
03/05/2010,113585500,36.03,34.17190476
04/05/2010,180954900,34.99,34.30190476
05/05/2010,220775800,34.63,34.40761905
06/05/2010,321465200,33.31,34.44380952
07/05/2010,419004600,31.91,34.41761905
10/05/2010,246076600,34.36,34.49619048
11/05/2010,212226700,34.7,34.58761905
12/05/2010,163594900,35.46,34.71428571
13/05/2010,149928100,34.95,34.79571429
14/05/2010,189840700,34.34,34.82761905
